,recency_days,active_span_days,active_days,active_day_ratio,active_hour_ratio,active_hours,unique_categories,category_item_ratio,last_7d_actions,total_actions,behavior_1_count,unique_items,label_churn
recency_days,1.0,-0.673418691276146,-0.5073122004589439,-0.5073122004589429,-0.4836257020466326,-0.4836257020466304,-0.30707400880753644,0.2916570931811522,-0.24501661093261004,-0.23112010277967837,-0.23083691053517819,-0.2243060692500394,0.3840897286269181
active_span_days,-0.673418691276146,1.0,0.715996142762452,0.7159961427624489,0.6464964962957153,0.6464964962957177,0.4062433819951685,-0.3369933359723769,0.26009228678902774,0.3072384529425104,0.30736943884940915,0.2980705196589712,-0.34641088587900654
active_days,-0.5073122004589439,0.715996142762452,1.0,0.9999999999999969,0.8546929996321702,0.8546929996321698,0.6922019540504175,-0.4673806138168344,0.4720105693303495,0.5690544064155878,0.5695674569662152,0.5487254756709943,-0.31427468260723823
active_day_ratio,-0.5073122004589429,0.7159961427624489,0.9999999999999969,1.0,0.8546929996321639,0.8546929996321715,0.6922019540504236,-0.46738061381683055,0.47201056933034935,0.5690544064155878,0.5695674569662141,0.5487254756709947,-0.3142746826072369
active_hour_ratio,-0.4836257020466326,0.6464964962957153,0.8546929996321702,0.8546929996321639,1.0,0.999999999999992,0.6483114503395545,-0.48909724266813154,0.45501388914234975,0.535489491238435,0.5350027346028007,0.5181785839451163,-0.3030249921874597
active_hours,-0.4836257020466304,0.6464964962957177,0.8546929996321698,0.8546929996321715,0.999999999999992,1.0,0.648311450339557,-0.4890972426681336,0.4550138891423518,0.5354894912384367,0.5350027346027965,0.5181785839451143,-0.30302499218745843
unique_categories,-0.30707400880753644,0.4062433819951685,0.6922019540504175,0.6922019540504236,0.6483114503395545,0.648311450339557,1.0,-0.340167222629655,0.6718039612644897,0.7860607792664738,0.7863832055765387,0.7995173720865438,-0.18801565267497133
category_item_ratio,0.2916570931811522,-0.3369933359723769,-0.4673806138168344,-0.46738061381683055,-0.48909724266813154,-0.4890972426681336,-0.340167222629655,1.0,-0.42871372006391345,-0.4857661175461457,-0.4879891172339235,-0.48477893295207114,0.14901456907880498
last_7d_actions,-0.24501661093261004,0.26009228678902774,0.4720105693303495,0.47201056933034935,0.45501388914234975,0.4550138891423518,0.6718039612644897,-0.42871372006391345,1.0,0.8581572390712063,0.8556660313505401,0.8264549844801143,-0.13799793373217686
total_actions,-0.23112010277967837,0.3072384529425104,0.5690544064155878,0.5690544064155878,0.535489491238435,0.5354894912384367,0.7860607792664738,-0.4857661175461457,0.8581572390712063,1.0,0.9986348584352968,0.9694878770513764,-0.13720050474011727
behavior_1_count,-0.23083691053517819,0.30736943884940915,0.5695674569662152,0.5695674569662141,0.5350027346028007,0.5350027346027965,0.7863832055765387,-0.4879891172339235,0.8556660313505401,0.9986348584352968,1.0,0.9722864553547498,-0.1370341260937544
unique_items,-0.2243060692500394,0.2980705196589712,0.5487254756709943,0.5487254756709947,0.5181785839451163,0.5181785839451143,0.7995173720865438,-0.48477893295207114,0.8264549844801143,0.9694878770513764,0.9722864553547498,1.0,-0.13295468488152543
label_churn,0.3840897286269181,-0.34641088587900654,-0.31427468260723823,-0.3142746826072369,-0.3030249921874597,-0.30302499218745843,-0.18801565267497133,0.14901456907880498,-0.13799793373217686,-0.13720050474011727,-0.1370341260937544,-0.13295468488152543,1.0
