user_id,total_actions,weekend_actions,geohash_missing_actions,last_7d_actions,last_3d_actions,unique_items,unique_categories,active_days,active_hours,active_span_days,recency_days,avg_actions_per_active_day,avg_actions_per_item,avg_actions_per_category,weekend_action_ratio,geohash_missing_ratio,last_7d_ratio,last_3d_ratio,category_item_ratio,active_day_ratio,active_hour_ratio,behavior_1_count,behavior_1_ratio,behavior_2_count,behavior_2_ratio,behavior_3_count,behavior_3_ratio,behavior_4_count,behavior_4_ratio,label_churn
4913,1384.0,360.0,1141.0,226.0,32.0,529.0,100.0,22.0,18.0,24,0,62.90909090909091,2.616257088846881,13.84,0.26011560693641617,0.8244219653179191,0.16329479768786126,0.023121387283236993,0.1890359168241966,0.9166666666666666,0.75,1313.0,0.9486994219653179,41.0,0.029624277456647398,26.0,0.01878612716763006,4.0,0.002890173410404624,0
6118,39.0,30.0,6.0,1.0,1.0,21.0,15.0,6.0,5.0,21,2,6.5,1.8571428571428572,2.6,0.7692307692307693,0.15384615384615385,0.02564102564102564,0.02564102564102564,0.7142857142857143,0.25,0.20833333333333334,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7528,159.0,56.0,159.0,4.0,0.0,55.0,10.0,13.0,11.0,17,4,12.23076923076923,2.890909090909091,15.9,0.3522012578616352,1.0,0.025157232704402517,0.0,0.18181818181818182,0.5416666666666666,0.4583333333333333,134.0,0.8427672955974843,1.0,0.006289308176100629,19.0,0.11949685534591195,5.0,0.031446540880503145,0
7591,630.0,99.0,74.0,343.0,223.0,162.0,54.0,18.0,15.0,24,0,35.0,3.888888888888889,11.666666666666666,0.15714285714285714,0.11746031746031746,0.5444444444444444,0.353968253968254,0.3333333333333333,0.75,0.625,602.0,0.9555555555555556,0.0,0.0,13.0,0.020634920634920634,15.0,0.023809523809523808,0
12645,219.0,20.0,24.0,54.0,51.0,74.0,37.0,15.0,16.0,24,0,14.6,2.9594594594594597,5.918918918918919,0.091324200913242,0.1095890410958904,0.2465753424657534,0.2328767123287671,0.5,0.625,0.6666666666666666,205.0,0.9360730593607306,2.0,0.0091324200913242,6.0,0.0273972602739726,6.0,0.0273972602739726,0
45368,36.0,5.0,36.0,0.0,0.0,17.0,9.0,4.0,5.0,16,7,9.0,2.1176470588235294,4.0,0.1388888888888889,1.0,0.0,0.0,0.5294117647058824,0.16666666666666666,0.20833333333333334,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
54056,38.0,23.0,38.0,23.0,0.0,11.0,3.0,2.0,3.0,20,4,19.0,3.4545454545454546,12.666666666666666,0.6052631578947368,1.0,0.6052631578947368,0.0,0.2727272727272727,0.08333333333333333,0.125,34.0,0.8947368421052632,2.0,0.05263157894736842,0.0,0.0,2.0,0.05263157894736842,1
63348,196.0,19.0,196.0,96.0,81.0,92.0,26.0,11.0,11.0,19,0,17.818181818181817,2.130434782608696,7.538461538461538,0.09693877551020408,1.0,0.4897959183673469,0.413265306122449,0.2826086956521739,0.4583333333333333,0.4583333333333333,174.0,0.8877551020408163,8.0,0.04081632653061224,13.0,0.0663265306122449,1.0,0.00510204081632653,0
79824,448.0,55.0,448.0,214.0,96.0,174.0,57.0,19.0,13.0,24,0,23.57894736842105,2.574712643678161,7.859649122807017,0.12276785714285714,1.0,0.47767857142857145,0.21428571428571427,0.3275862068965517,0.7916666666666666,0.5416666666666666,441.0,0.984375,0.0,0.0,0.0,0.0,7.0,0.015625,0
88930,1328.0,525.0,171.0,141.0,38.0,372.0,94.0,18.0,18.0,24,0,73.77777777777777,3.5698924731182795,14.127659574468085,0.3953313253012048,0.12876506024096385,0.10617469879518072,0.0286144578313253,0.25268817204301075,0.75,0.75,1263.0,0.9510542168674698,27.0,0.02033132530120482,21.0,0.01581325301204819,17.0,0.012801204819277108,0
90472,130.0,30.0,78.0,26.0,0.0,55.0,37.0,9.0,12.0,20,4,14.444444444444445,2.3636363636363638,3.5135135135135136,0.23076923076923078,0.6,0.2,0.0,0.6727272727272727,0.375,0.5,118.0,0.9076923076923077,8.0,0.06153846153846154,4.0,0.03076923076923077,0.0,0.0,0
100539,851.0,144.0,642.0,365.0,229.0,279.0,81.0,22.0,17.0,24,0,38.68181818181818,3.050179211469534,10.506172839506172,0.1692126909518214,0.754406580493537,0.4289071680376028,0.2690951821386604,0.2903225806451613,0.9166666666666666,0.7083333333333334,783.0,0.9200940070505288,1.0,0.0011750881316098707,52.0,0.06110458284371328,15.0,0.01762632197414806,0
104155,339.0,173.0,339.0,30.0,24.0,165.0,48.0,14.0,15.0,24,0,24.214285714285715,2.0545454545454547,7.0625,0.5103244837758112,1.0,0.08849557522123894,0.07079646017699115,0.2909090909090909,0.5833333333333334,0.625,322.0,0.9498525073746312,11.0,0.032448377581120944,3.0,0.008849557522123894,3.0,0.008849557522123894,0
109103,418.0,92.0,418.0,169.0,23.0,122.0,31.0,10.0,10.0,17,1,41.8,3.4262295081967213,13.483870967741936,0.22009569377990432,1.0,0.4043062200956938,0.05502392344497608,0.2540983606557377,0.4166666666666667,0.4166666666666667,354.0,0.84688995215311,31.0,0.07416267942583732,17.0,0.04066985645933014,16.0,0.03827751196172249,0
113251,379.0,26.0,85.0,3.0,0.0,143.0,65.0,16.0,20.0,20,4,23.6875,2.6503496503496504,5.8307692307692305,0.06860158311345646,0.22427440633245382,0.0079155672823219,0.0,0.45454545454545453,0.6666666666666666,0.8333333333333334,359.0,0.9472295514511874,1.0,0.002638522427440633,14.0,0.036939313984168866,5.0,0.013192612137203167,1
113960,1696.0,466.0,333.0,168.0,35.0,602.0,128.0,23.0,21.0,24,0,73.73913043478261,2.8172757475083055,13.25,0.27476415094339623,0.1963443396226415,0.09905660377358491,0.020636792452830188,0.21262458471760798,0.9583333333333334,0.875,1562.0,0.9209905660377359,2.0,0.0011792452830188679,101.0,0.05955188679245283,31.0,0.018278301886792452,0
114088,25.0,10.0,21.0,4.0,0.0,17.0,12.0,4.0,6.0,20,3,6.25,1.4705882352941178,2.0833333333333335,0.4,0.84,0.16,0.0,0.7058823529411765,0.16666666666666666,0.25,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
120873,1088.0,229.0,1088.0,270.0,0.0,575.0,44.0,16.0,15.0,21,2,68.0,1.8921739130434783,24.727272727272727,0.2104779411764706,1.0,0.24816176470588236,0.0,0.07652173913043478,0.6666666666666666,0.625,1012.0,0.9301470588235294,62.0,0.05698529411764706,13.0,0.011948529411764705,1.0,0.0009191176470588235,0
134658,179.0,37.0,90.0,111.0,64.0,87.0,27.0,9.0,15.0,23,0,19.88888888888889,2.057471264367816,6.62962962962963,0.20670391061452514,0.5027932960893855,0.6201117318435754,0.3575418994413408,0.3103448275862069,0.375,0.625,174.0,0.9720670391061452,0.0,0.0,4.0,0.0223463687150838,1.0,0.00558659217877095,0
151617,1770.0,180.0,1232.0,458.0,150.0,615.0,104.0,23.0,17.0,24,0,76.95652173913044,2.8780487804878048,17.01923076923077,0.1016949152542373,0.696045197740113,0.25875706214689265,0.0847457627118644,0.16910569105691056,0.9583333333333334,0.7083333333333334,1676.0,0.9468926553672317,33.0,0.01864406779661017,40.0,0.022598870056497175,21.0,0.011864406779661017,0
156608,560.0,225.0,494.0,31.0,28.0,214.0,51.0,15.0,17.0,22,0,37.333333333333336,2.616822429906542,10.980392156862745,0.4017857142857143,0.8821428571428571,0.055357142857142855,0.05,0.2383177570093458,0.625,0.7083333333333334,486.0,0.8678571428571429,46.0,0.08214285714285714,19.0,0.033928571428571426,9.0,0.01607142857142857,0
157097,1165.0,192.0,1165.0,129.0,70.0,563.0,137.0,23.0,18.0,24,0,50.65217391304348,2.069271758436945,8.503649635036496,0.1648068669527897,1.0,0.11072961373390558,0.060085836909871244,0.2433392539964476,0.9583333333333334,0.75,1143.0,0.9811158798283262,0.0,0.0,10.0,0.008583690987124463,12.0,0.010300429184549357,0
